state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Oregon,Male,Bachelor,396,481.30,88410,99,1/0/00,Corporate Auto,Four-Door Car,475.2
California,Female,Bachelor,491,177.31,51236,69,1/0/00,Personal Auto,Four-Door Car,496.8
Oregon,Female,College,780,531.29,21073,106,1/1/00,Personal Auto,SUV,508.8
Arizona,Female,College,720,066.49,51236,66,1/0/00,Personal Auto,Four-Door Car,316.8
Nevada,Male,Doctorate,352,804.43,31278,92,1/4/00,Personal Auto,Two-Door Car,441.6
California,Female,Doctorate,324,131.42,66889,80,1/0/00,Personal Auto,Four-Door Car,294.319428
California,Male,Bachelor,552,821.28,36088,72,1/0/00,Corporate Auto,Four-Door Car,345.6
Washington,Male,Master,299,302.46,51236,80,1/0/00,Corporate Auto,Four-Door Car,286.115778
Arizona,Male,Bachelor,707,665.32,51236,68,1/0/00,Corporate Auto,Two-Door Car,489.6
California,Female,College,370,038.50,17557,96,1/0/00,Personal Auto,Four-Door Car,666.724937
California,Female,College,532,883.59,81064,70,1/4/00,Personal Auto,Two-Door Car,42.238585
Nevada,Female,College,483,887.71,51236,66,1/0/00,Personal Auto,Four-Door Car,700.331425
Washington,Female,Master,341,720.50,42526,86,1/0/00,Personal Auto,Two-Door Car,287.5426
California,Female,Doctorate,787,992.90,45703,98,1/0/00,Personal Auto,Two-Door Car,470.4
California,Female,Bachelor,786,943.24,40036,65,1/0/00,Personal Auto,Four-Door Car,48.828732
California,Male,Bachelor,258,680.72,51236,71,1/0/00,Personal Auto,Four-Door Car,191.640085
Arizona,Male,College,728,678.91,65870,61,1/1/00,Personal Auto,Four-Door Car,202.847644
California,Female,Bachelor,1,179,799.21,91469,100,1/2/00,Personal Auto,SUV,418.864555
California,Male,College,938,675.30,42090,119,1/0/00,Corporate Auto,SUV,203.352239
Oregon,Female,Doctorate,630,892.24,21368,79,1/0/00,Corporate Auto,Four-Door Car,4.61262
Washington,Female,Bachelor,860,915.82,79090,107,1/0/00,Personal Auto,SUV,289.040734
Oregon,Female,Bachelor,1,542,801.04,33879,98,1/0/00,Corporate Auto,Two-Door Car,470.4
Arizona,Male,College,563,079.30,72874,70,1/0/00,Special Auto,Four-Door Car,336
California,Male,College,1,813,118.87,51236,82,1/1/00,Personal Auto,Four-Door Car,393.6
California,Female,Bachelor,808,721.95,51236,110,1/0/00,Personal Auto,Two-Door Car,550.825934
Arizona,Male,College,1,845,357.63,72215,66,1/0/00,Personal Auto,Four-Door Car,247.911872
California,Female,Bachelor,521,751.33,39854,66,1/0/00,Corporate Auto,Two-Door Car,261.930545
Oregon,Male,College,483,578.32,36655,61,1/0/00,Personal Auto,Four-Door Car,295.223164
Oregon,Female,College,559,712.50,37995,139,1/0/00,Personal Auto,SUV,667.2
California,Female,College,892,046.40,40867,112,1/0/00,Corporate Auto,Two-Door Car,537.6
Oregon,Female,Bachelor,599,541.10,28804,78,1/0/00,Personal Auto,Two-Door Car,76.025368
California,Female,College,3,849,694.70,48409,124,1/0/00,Special Auto,SUV,345.211703
California,Male,College,838,263.01,19683,117,1/1/00,Personal Auto,Sports Car,561.6
Washington,NA,College,244,366.52,92834,61,1/0/00,Special Auto,Four-Door Car,292.8
Washington,Female,College,247,225.39,62006,61,1/0/00,Personal Auto,Four-Door Car,292.8
California,Female,College,540,551.84,67241,68,1/1/00,Personal Auto,Two-Door Car,5.674809
California,Male,College,935,247.90,75436,78,1/0/00,Personal Auto,Four-Door Car,9.747443
Arizona,Female,College,433,987.11,91761,109,1/2/00,Personal Auto,SUV,779.052276
California,Female,College,1,772,376.40,25771,222,1/0/00,Personal Auto,Luxury SUV,1253.984948
Washington,Female,College,604,857.42,51236,61,1/3/00,Corporate Auto,Four-Door Car,292.8
Washington,Female,College,1,901,447.63,29822,61,1/0/00,Personal Auto,Two-Door Car,292.8
Arizona,Male,College,1,008,037.03,60944,130,1/2/00,Personal Auto,SUV,623.505066
California,Female,College,650,339.70,22081,84,1/0/00,Personal Auto,Two-Door Car,451.670309
Washington,female,College,248,772.97,67282,62,1/0/00,Personal Auto,Two-Door Car,297.6
California,Female,College,462,039.01,51236,130,1/0/00,Personal Auto,SUV,936
Arizona,Male,College,247,152.84,95697,61,1/0/00,Personal Auto,Two-Door Car,114.273025
Oregon,Female,College,649,424.40,15300,85,1/0/00,Personal Auto,Four-Door Car,408
Washington,Male,College,250,490.76,88264,62,1/0/00,Personal Auto,Two-Door Car,297.6
Nevada,Female,College,490,489.47,12902,139,1/0/00,Personal Auto,Sports Car,667.2
Arizona,Male,College,480,247.70,29809,61,1/0/00,Personal Auto,Four-Door Car,365.312072
Nevada,Male,College,795,577.48,51236,74,1/0/00,Personal Auto,Four-Door Car,355.2
Oregon,Male,College,694,190.08,51236,96,1/0/00,Personal Auto,Four-Door Car,460.8
Oregon,Male,Bachelor,838,247.84,25998,71,1/0/00,Personal Auto,Four-Door Car,791.878042
Oregon,Female,Doctorate,353,643.18,28248,90,1/0/00,Personal Auto,Four-Door Car,634.385937
California,Female,College,324,481.66,68103,82,1/0/00,Personal Auto,Two-Door Car,277.795988
California,Female,College,761,121.28,51236,103,1/0/00,Special Auto,Four-Door Car,741.6
Oregon,Female,Doctorate,450,539.83,81079,111,1/0/00,Special Auto,SUV,134.222332
Nevada,Female,Master,244,584.48,22732,62,1/0/00,Personal Auto,Four-Door Car,15.616535
Nevada,Female,College,1,647,776.84,49825,70,1/3/00,Corporate Auto,Two-Door Car,336
Oregon,Female,College,354,640.02,51236,103,1/0/00,Personal Auto,SUV,621.959357
Nevada,Male,College,427,727.01,77265,107,1/0/00,Personal Auto,SUV,513.6
California,Male,College,478,477.35,51236,72,1/0/00,Corporate Auto,Four-Door Car,779.629297
California,Male,College,757,223.77,12876,107,1/2/00,Corporate Auto,Four-Door Car,425.964628
Arizona,Male,Bachelor,1,176,087.64,36431,99,1/0/00,Personal Auto,Two-Door Car,513.252488
Oregon,Male,College,393,381.40,25927,103,1/0/00,Personal Auto,SUV,674.973614
Nevada,Female,Bachelor,570,076.18,26811,72,1/0/00,Personal Auto,Two-Door Car,465.763576
Oregon,Female,College,349,863.48,41711,90,1/0/00,Personal Auto,Four-Door Car,351.286604
Arizona,Female,College,576,809.13,35091,74,1/0/00,Corporate Auto,Two-Door Car,418.927204
Arizona,Female,Bachelor,636,195.40,51236,87,1/0/00,Corporate Auto,Four-Door Car,417.6
Oregon,Female,College,650,339.70,22081,84,1/0/00,Personal Auto,Two-Door Car,451.670309
Washington,Male,College,493,519.00,29560,62,1/0/00,Personal Auto,Four-Door Car,297.6
Oregon,Male,College,578,522.35,31320,72,1/0/00,Personal Auto,Four-Door Car,293.86579
Oregon,Male,College,561,968.91,51236,153,1/0/00,Personal Auto,SUV,1027.000029
Oregon,Male,Doctorate,259,928.96,33947,66,1/1/00,Personal Auto,Four-Door Car,192.213037
California,Female,College,673,297.09,51236,62,1/0/00,Personal Auto,Two-Door Car,446.4
California,Female,College,1,832,186.65,21189,66,1/0/00,Personal Auto,Two-Door Car,316.8
Washington,Male,Bachelor,230,069.15,25905,63,1/0/00,Personal Auto,Four-Door Car,302.4
Oregon,Male,College,400,285.76,51236,114,1/0/00,Personal Auto,SUV,820.8
Oregon,Female,Bachelor,862,099.74,44988,108,1/0/00,Corporate Auto,Two-Door Car,518.4
Oregon,Female,College,1,038,898.60,33432,90,1/0/00,Corporate Auto,Two-Door Car,161.423101
Oregon,Female,Bachelor,842,717.25,46503,215,1/1/00,Personal Auto,Luxury SUV,1032
California,Male,Bachelor,700,727.42,51236,101,1/0/00,Corporate Auto,SUV,973.787176
Oregon,Female,Master,517,657.91,23636,65,1/0/00,Personal Auto,Four-Door Car,81.452537
Oregon,Female,College,1,319,792.89,51236,68,1/3/00,Personal Auto,Four-Door Car,326.4
Washington,Female,College,470,000.75,11417,63,1/0/00,Personal Auto,Two-Door Car,302.4
Oregon,Female,Bachelor,443,494.14,58082,112,1/1/00,Personal Auto,SUV,103.022126
Arizona,Female,Bachelor,1,401,052.74,36523,71,1/0/00,Personal Auto,Four-Door Car,101.353875
Nevada,Male,Bachelor,1,235,005.82,54710,103,1/0/00,Personal Auto,Two-Door Car,294.058449
California,Female,College,816,157.69,73466,102,1/1/00,Personal Auto,SUV,204.74051
Oregon,Female,Bachelor,1,100,913.05,51643,283,1/0/00,Corporate Auto,Luxury Car,1358.4
Arizona,Male,College,871,704.98,83846,74,1/3/00,Personal Auto,Four-Door Car,355.2
Oregon,Male,College,591,746.66,51236,169,1/0/00,Personal Auto,SUV,1207.084251
California,Male,Bachelor,250,366.04,53338,63,1/1/00,Personal Auto,Four-Door Car,35.45384
Washington,NA,Bachelor,501,888.52,54500,63,1/0/00,Corporate Auto,Two-Door Car,302.4
Oregon,Male,College,433,038.60,60475,107,1/0/00,Personal Auto,Four-Door Car,513.6
California,Male,College,1,048,774.33,30658,89,1/0/00,Personal Auto,Four-Door Car,441.757585
Arizona,Male,Bachelor,356,750.38,51236,102,1/0/00,Corporate Auto,SUV,660.430456
Oregon,Female,Bachelor,1,989,642.23,60420,248,1/0/00,Personal Auto,Luxury SUV,632.944366
Washington,Male,College,694,832.59,40598,91,1/0/00,Personal Auto,Four-Door Car,302.791402
California,Female,Doctorate,351,583.19,15144,90,1/0/00,Personal Auto,Four-Door Car,372.652536
California,Male,Bachelor,1,203,662.05,44428,104,1/0/00,Personal Auto,SUV,499.2
California,Male,College,360,979.83,58297,97,1/5/00,Special Auto,Four-Door Car,647.039443
Oregon,Female,Bachelor,1,773,246.49,42191,74,1/1/00,Special Auto,Two-Door Car,68.647736
Nevada,Male,Master,850,985.09,26057,74,1/0/00,Personal Auto,Four-Door Car,523.888845
Arizona,Female,Bachelor,586,642.43,26608,73,1/0/00,Personal Auto,Two-Door Car,234.234301
California,Male,Doctorate,482,550.09,51236,63,1/0/00,Personal Auto,Four-Door Car,272.843439
California,Male,College,538,949.95,66429,136,1/0/00,Personal Auto,Sports Car,57.712985
California,Female,Bachelor,777,800.56,25970,72,1/3/00,Personal Auto,Four-Door Car,430.818992
Oregon,Male,College,2,634,608.58,48268,223,1/0/00,Personal Auto,Luxury SUV,1605.6
California,Female,College,1,486,645.12,24279,126,1/0/00,Personal Auto,Sports Car,604.8
Arizona,Male,College,832,423.27,51236,121,1/0/00,Corporate Auto,Sports Car,871.2
Oregon,Female,College,923,830.60,51236,128,1/0/00,Personal Auto,SUV,921.6
Nevada,Female,College,2,269,329.08,71879,64,1/0/00,Corporate Auto,Two-Door Car,9.163065
Arizona,Male,Doctorate,623,601.86,57760,78,1/0/00,Special Auto,Four-Door Car,223.950089
California,Male,College,501,218.48,20976,129,1/1/00,Personal Auto,Sports Car,735.683769
Washington,Male,College,1,569,553.94,97750,65,1/0/00,Personal Auto,Four-Door Car,303.002922
Washington,Female,College,821,460.24,73245,68,1/0/00,Personal Auto,Four-Door Car,305.121363
California,Male,College,311,898.11,23008,79,1/1/00,Personal Auto,Four-Door Car,80.663097
Washington,Female,College,276,403.21,33837,72,1/4/00,Corporate Auto,Two-Door Car,305.575785
Arizona,Female,College,688,368.66,84869,85,1/0/00,Corporate Auto,Four-Door Car,408
Oregon,Male,College,221,591.29,51236,66,1/0/00,Corporate Auto,Two-Door Car,316.8
Washington,NA,Bachelor,485,474.57,29834,6464,1/0/00,Personal Auto,Four-Door Car,307.2
Arizona,Female,College,2,152,294.75,44695,79,1/2/00,Personal Auto,Two-Door Car,81.166323
Oregon,Female,College,276,169.17,51236,77,1/0/00,Personal Auto,Four-Door Car,554.4
Oregon,Male,College,2,256,361.84,23046,65,1/3/00,Personal Auto,Two-Door Car,1.687291
Oregon,Male,College,528,591.83,51236,73,1/0/00,Personal Auto,Two-Door Car,392.951076
Oregon,Female,College,3,506,264.80,84811,111,1/0/00,Personal Auto,SUV,278.284943
Oregon,Male,Bachelor,591,319.90,51236,91,1/0/00,Corporate Auto,Four-Door Car,436.8
California,Female,Master,259,339.87,51236,69,1/0/00,Personal Auto,Two-Door Car,331.2
Arizona,Male,College,1,269,267.09,40117,108,1/0/00,Personal Auto,Two-Door Car,750.082794
Oregon,Male,Bachelor,330,911.97,72140,87,1/2/00,Personal Auto,Four-Door Car,417.6
Oregon,Female,College,374,675.16,41479,94,1/1/00,Personal Auto,Two-Door Car,19.575683
California,Male,College,241,393.06,12495,65,1/0/00,Personal Auto,Four-Door Car,312
California,Male,College,216,168.55,51236,67,1/2/00,Corporate Auto,Two-Door Car,482.4
Oregon,Female,Bachelor,552,798.89,51236,72,1/0/00,Personal Auto,Four-Door Car,345.6
Arizona,Female,Doctorate,1,062,921.79,36495,133,1/1/00,Corporate Auto,SUV,229.930796
Nevada,Female,Bachelor,1,182,010.98,86801,98,1/0/00,Personal Auto,Four-Door Car,371.108203
California,Male,College,496,463.15,52679,62,1/0/00,Personal Auto,Four-Door Car,117.998498
California,Male,Master,912,292.56,90804,113,1/0/00,Personal Auto,Sports Car,434.09776
Oregon,Female,College,346,066.50,14262,90,1/0/00,Personal Auto,Four-Door Car,290.432527
Oregon,Male,Bachelor,287,298.08,36844,73,1/0/00,Personal Auto,Four-Door Car,283.966321
Arizona,Female,College,992,787.77,58703,127,1/2/00,Personal Auto,SUV,227.916076
Nevada,Male,College,348,268.70,65162,86,1/0/00,Personal Auto,Four-Door Car,134.430084
Oregon,Female,College,399,172.72,54964,99,1/0/00,Personal Auto,Four-Door Car,525.515271
Oregon,Male,Bachelor,551,010.74,61401,69,1/0/00,Personal Auto,Four-Door Car,144.439335
Oregon,Female,College,360,093.43,25147,101,1/0/00,Corporate Auto,SUV,694.598288
Oregon,Female,Master,541,945.81,73536,67,1/0/00,Personal Auto,Two-Door Car,172.518524
Oregon,Female,College,581,063.05,24860,73,1/0/00,Personal Auto,Four-Door Car,350.4
California,Male,Bachelor,394,272.58,65404,99,1/0/00,Personal Auto,Four-Door Car,300.703109
Oregon,Male,College,312,627.19,34510,81,1/0/00,Personal Auto,Four-Door Car,388.8
California,Male,Bachelor,353,000.77,51236,108,1/0/00,Corporate Auto,Two-Door Car,777.6
Washington,Female,College,1,099,059.48,44552,137,1/0/00,Personal Auto,SUV,311.103582
Arizona,Male,College,477,294.38,20993,133,1/0/00,Personal Auto,SUV,638.4
Oregon,Female,Bachelor,220,233.52,51236,61,1/1/00,Personal Auto,Two-Door Car,292.8
Washington,Male,College,245,917.17,21190,65,1/2/00,Personal Auto,Four-Door Car,312
Arizona,Female,College,1,037,388.88,62587,86,1/0/00,Personal Auto,Four-Door Car,412.8
Washington,Female,College,258,420.39,22562,65,1/0/00,Personal Auto,Two-Door Car,312
California,Male,College,430,742.28,73345,107,1/0/00,Personal Auto,SUV,513.6
Oregon,Female,College,304,025.38,51236,83,1/0/00,Personal Auto,Four-Door Car,989.105367
California,Female,Master,1,916,098.99,22705,239,1/0/00,Personal Auto,Luxury SUV,1294.700423
Washington,Male,Bachelor,817,657.68,67137,111,1/5/00,Personal Auto,SUV,314.880326
Oregon,Female,Bachelor,528,530.76,22627,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,Female,Master,802,499.30,38702,101,1/3/00,Personal Auto,SUV,253.364333
California,Male,Bachelor,281,046.44,26790,71,1/0/00,Personal Auto,Two-Door Car,340.8
Arizona,Female,Bachelor,773,955.04,64859,96,1/0/00,Personal Auto,Four-Door Car,266.949266
Washington,Male,Bachelor,410,979.36,86657,103,1/0/00,Personal Auto,Sports Car,316.227946
Nevada,Female,College,327,516.20,69263,81,1/2/00,Personal Auto,Two-Door Car,494.847804
Oregon,Male,Bachelor,265,269.53,82655,66,1/0/00,Personal Auto,Two-Door Car,316.8
California,Female,College,504,822.62,29401,65,1/0/00,Personal Auto,Four-Door Car,312
Washington,Male,Bachelor,336,241.44,22853,87,1/0/00,Personal Auto,Four-Door Car,316.35678
Arizona,Female,College,485,842.94,26480,63,1/0/00,Personal Auto,Two-Door Car,378.695238
Oregon,Female,College,214,492.15,51236,61,1/1/00,Personal Auto,Four-Door Car,292.8
California,Male,Bachelor,604,261.85,51236,83,1/0/00,Personal Auto,Two-Door Car,904.385726
Oregon,Female,College,338,720.33,73268,84,1/0/00,Personal Auto,Four-Door Car,93.623377
Oregon,Female,Doctorate,1,086,427.49,95579,67,1/0/00,Personal Auto,Four-Door Car,308.631159
Oregon,Female,Master,884,265.00,42142,112,1/0/00,Personal Auto,Sports Car,396.17554
Washington,Male,College,261,661.39,72302,66,1/0/00,Special Auto,Two-Door Car,316.8
California,Male,Bachelor,3,076,325.64,41279,115,1/0/00,Personal Auto,Sports Car,251.429988
Washington,Male,Master,520,022.78,23401,66,1/0/00,Personal Auto,Four-Door Car,316.8
Nevada,Male,Bachelor,859,130.54,51236,128,1/0/00,Corporate Auto,SUV,1448.994134
Arizona,Female,College,264,657.38,23170,71,1/0/00,Personal Auto,Four-Door Car,340.8
Oregon,Female,Bachelor,460,724.43,17343,63,1/0/00,Corporate Auto,Two-Door Car,208.659743
Oregon,Male,College,486,062.00,25854,68,1/0/00,Personal Auto,Four-Door Car,396.284835
Oregon,Male,College,258,084.99,46900,66,1/0/00,Corporate Auto,Four-Door Car,316.8
Washington,Female,College,529,139.53,57338,66,1/0/00,Personal Auto,Four-Door Car,316.8
California,Male,College,840,575.30,85355,71,1/2/00,Personal Auto,Two-Door Car,458.568921
Arizona,Female,College,309,651.12,21604,79,1/0/00,Personal Auto,Four-Door Car,379.2
Arizona,Male,College,2,941,228.93,51236,107,1/0/00,Personal Auto,SUV,513.6
Washington,Male,College,779,481.84,51878,66,1/1/00,Personal Auto,Four-Door Car,316.8
Oregon,Female,Master,417,068.73,29462,107,1/1/00,Personal Auto,SUV,513.6
Nevada,Female,College,321,860.86,68776,80,1/0/00,Personal Auto,Four-Door Car,87.861666
Oregon,Female,College,2,320,726.97,45039,96,1/0/00,Personal Auto,Four-Door Car,192.144838
Washington,Female,College,692,197.40,16483,90,1/0/00,Corporate Auto,Two-Door Car,320.519977
Nevada,Male,College,1,391,853.48,64113,117,1/0/00,Special Auto,Four-Door Car,561.6
Arizona,Male,College,896,630.98,41829,76,1/0/00,Personal Auto,Two-Door Car,416.365369
California,Female,Master,1,198,198.48,21514,62,1/0/00,Personal Auto,Two-Door Car,257.248789
Nevada,Male,Master,553,262.98,27722,69,1/0/00,Personal Auto,Four-Door Car,331.2
Nevada,Female,College,1,166,057.30,21506,151,1/0/00,Personal Auto,Sports Car,826.658992
Oregon,Female,College,288,645.16,10312,78,1/0/00,Personal Auto,Four-Door Car,486.278557
Arizona,Female,Bachelor,1,274,184.75,73054,106,1/1/00,Personal Auto,SUV,419.365958
Oregon,Female,Bachelor,539,809.81,73775,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,Male,College,728,503.10,44788,61,1/0/00,Corporate Auto,Four-Door Car,386.031248
Nevada,Female,College,1,765,196.34,22510,95,1/0/00,Personal Auto,Four-Door Car,456
Arizona,Male,Master,1,702,989.34,54613,213,1/0/00,Personal Auto,Luxury SUV,731.559007
Arizona,Female,College,249,125.76,25965,65,1/0/00,Personal Auto,Four-Door Car,329.206567
Oregon,Female,College,403,931.50,34911,105,1/1/00,Personal Auto,SUV,126.779673
Oregon,Male,Bachelor,261,933.74,78618,66,1/0/00,Special Auto,Two-Door Car,225.578841
Oregon,Female,College,504,968.96,61080,66,1/2/00,Personal Auto,Four-Door Car,294.284951
Oregon,Female,Master,498,345.71,60415,62,1/0/00,Personal Auto,Two-Door Car,72.665253
California,Female,Master,253,063.94,25143,66,1/0/00,Corporate Auto,Four-Door Car,8.737111
California,Male,College,739,671.97,41045,64,1/1/00,Personal Auto,Four-Door Car,394.582401
California,Male,College,383,289.85,97729,95,1/0/00,Personal Auto,Four-Door Car,97.176153
Arizona,Female,College,496,140.59,55702,61,1/0/00,Personal Auto,Four-Door Car,151.13336
California,Female,College,386,148.63,93272,95,1/0/00,Personal Auto,Four-Door Car,281.110788
Oregon,Male,College,1,040,896.87,20228,101,1/1/00,Personal Auto,SUV,523.815839
Nevada,Female,College,483,471.05,38713,66,1/4/00,Personal Auto,Four-Door Car,316.8
Arizona,Female,Bachelor,825,766.65,23815,73,1/0/00,Personal Auto,Four-Door Car,424.330166
Nevada,Female,College,305,262.95,51236,93,1/3/00,Personal Auto,Four-Door Car,446.4
California,Female,College,401,231.93,47221,99,1/0/00,Personal Auto,Two-Door Car,475.2
Oregon,Male,Bachelor,1,335,548.64,34495,113,1/0/00,Personal Auto,SUV,389.673944
Oregon,Male,College,236,443.16,46264,62,1/0/00,Corporate Auto,Four-Door Car,199.37361
Nevada,Male,College,248,933.79,46051,63,1/0/00,Personal Auto,Two-Door Car,302.4
Nevada,Female,Bachelor,475,572.00,23975,128,1/0/00,Corporate Auto,SUV,614.4
California,Female,College,1,386,438.50,51236,74,1/4/00,Personal Auto,Four-Door Car,580.886785
Arizona,Female,College,302,042.48,78561,74,1/0/00,Personal Auto,Two-Door Car,355.2
California,Male,College,628,530.52,51236,90,1/0/00,Personal Auto,Two-Door Car,432
California,Female,College,250,602.20,61402,63,1/2/00,Special Auto,Four-Door Car,302.4
Arizona,Male,Bachelor,282,630.76,65090,71,1/0/00,Personal Auto,Four-Door Car,73.995096
Nevada,Male,Master,436,971.79,88495,108,1/0/00,Personal Auto,Two-Door Car,535.926948
Nevada,Male,Bachelor,1,217,458.80,52797,104,1/1/00,Personal Auto,Sports Car,88.173438
Oregon,Male,Bachelor,2,142,363.72,51236,65,1/0/00,Personal Auto,Two-Door Car,312
California,Female,Bachelor,1,043,657.47,24177,92,1/1/00,Personal Auto,Four-Door Car,441.6
Oregon,Female,College,274,612.14,96339,68,1/0/00,Corporate Auto,Four-Door Car,293.205349
California,Male,Bachelor,917,517.19,68164,119,1/2/00,Personal Auto,Four-Door Car,222.582872
Washington,NA,College,779,481.84,36765,66,1/1/00,Personal Auto,Four-Door Car,320.849072
Washington,Female,Doctorate,272,752.08,74592,67,1/0/00,Personal Auto,Two-Door Car,321.6
Oregon,Female,College,944,974.59,51236,63,1/0/00,Special Auto,Four-Door Car,117.744416
California,Male,College,456,881.94,51236,70,1/1/00,Personal Auto,Two-Door Car,524.836298
Oregon,Female,Master,257,402.04,34990,65,1/0/00,Personal Auto,Four-Door Car,42.689135
Arizona,Female,Master,878,988.41,22849,109,1/0/00,Personal Auto,Sports Car,523.2
Arizona,Male,Doctorate,250,740.78,32893,63,1/0/00,Personal Auto,Four-Door Car,174.086385
Oregon,Male,College,252,241.46,51236,73,1/0/00,Corporate Auto,Two-Door Car,350.4
Nevada,Male,College,754,271.40,51236,111,1/0/00,Personal Auto,SUV,1186.972445
Oregon,Male,College,600,521.48,26876,76,1/0/00,Corporate Auto,Four-Door Car,364.8
Nevada,Male,Bachelor,2,099,825.95,71663,74,1/0/00,Corporate Auto,Four-Door Car,84.494022
California,Male,College,234,508.45,51236,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Female,College,878,316.54,16994,112,1/0/00,Personal Auto,SUV,806.4
Oregon,Male,Bachelor,452,996.54,64270,117,1/0/00,Personal Auto,Sports Car,46.104534
Nevada,Female,College,603,322.24,51236,83,1/0/00,Corporate Auto,Four-Door Car,597.6
Oregon,Female,Doctorate,530,824.70,51236,145,1/0/00,Personal Auto,SUV,358.765757
California,Male,College,267,473.07,56342,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Female,College,492,980.75,51236,70,1/0/00,Personal Auto,Four-Door Car,837.438442
California,Male,College,1,413,112.13,28327,185,1/0/00,Personal Auto,Luxury Car,888
Oregon,Male,College,247,152.84,95697,61,1/0/00,Personal Auto,Two-Door Car,114.273025
Arizona,Male,College,600,521.48,26876,76,1/0/00,Personal Auto,Four-Door Car,364.8
Washington,Male,College,438,627.76,10621,67,1/0/00,Personal Auto,Four-Door Car,321.6
Nevada,Female,Bachelor,1,911,656.81,51236,61,1/0/00,Personal Auto,Two-Door Car,657.808231
California,Male,College,663,166.55,32918,84,1/0/00,Personal Auto,Four-Door Car,403.2
Oregon,Female,College,743,229.99,51236,71,1/0/00,Personal Auto,Four-Door Car,447.333545
Nevada,Male,College,292,811.51,63127,74,1/1/00,Personal Auto,Two-Door Car,174.292234
California,Male,College,4,661,187.38,22022,136,1/0/00,Personal Auto,SUV,979.2
Oregon,Female,College,1,651,500.93,51725,138,1/1/00,Personal Auto,SUV,159.004261
Washington,Male,College,438,627.76,10621,67,1/0/00,Special Auto,Four-Door Car,321.6
Oregon,Female,College,1,021,356.34,39719,131,1/0/00,Personal Auto,Sports Car,628.8
Nevada,Male,College,1,004,928.59,58194,84,1/0/00,Personal Auto,Four-Door Car,450.996589
Oregon,Male,College,574,614.83,61990,72,1/0/00,Personal Auto,Four-Door Car,48.884434
Oregon,Female,Bachelor,748,606.84,97899,95,1/3/00,Personal Auto,Four-Door Car,3.772105
Nevada,Female,College,912,006.52,63878,113,1/0/00,Personal Auto,SUV,370.285349
Oregon,Female,College,567,804.67,68671,70,1/0/00,Special Auto,Two-Door Car,8.076879
Nevada,Female,Bachelor,751,708.38,51236,102,1/0/00,Personal Auto,SUV,1178.995926
Oregon,Male,College,453,053.07,34640,117,1/2/00,Personal Auto,Sports Car,466.318191
California,Female,Bachelor,269,138.06,21959,71,1/0/00,Corporate Auto,Four-Door Car,340.8
Arizona,Female,Bachelor,806,862.39,51584,69,1/2/00,Corporate Auto,Two-Door Car,368.919773
Oregon,Female,Bachelor,247,857.67,65744,62,1/0/00,Corporate Auto,Four-Door Car,166.507217
Arizona,Female,Bachelor,911,204.15,25198,118,1/0/00,Personal Auto,SUV,566.4
Arizona,Female,Master,277,244.13,79663,69,1/0/00,Personal Auto,Two-Door Car,263.957201
Arizona,Female,Bachelor,430,579.32,31071,111,1/2/00,Personal Auto,Sports Car,215.23091
California,Female,Bachelor,510,335.76,39452,131,1/0/00,Corporate Auto,SUV,398.190882
Oregon,Female,Bachelor,478,496.05,25813,61,1/0/00,Personal Auto,Four-Door Car,205.332749
Oregon,Female,Doctorate,1,054,110.98,59965,131,1/0/00,Personal Auto,SUV,905.030448
Washington,Male,Bachelor,528,511.87,40783,67,1/1/00,Personal Auto,Four-Door Car,321.6
Nevada,Female,College,761,084.05,98701,94,1/0/00,Personal Auto,Four-Door Car,79.615631
Arizona,Female,College,851,052.59,51236,121,1/0/00,Personal Auto,Sports Car,871.2
Oregon,Female,College,1,617,294.05,64388,68,1/0/00,Personal Auto,Four-Door Car,12.394834
Oregon,Male,College,242,549.48,66841,62,1/0/00,Personal Auto,Four-Door Car,123.436634
Oregon,Female,College,289,931.72,33738,74,1/1/00,Corporate Auto,Four-Door Car,304.390472
California,Male,Bachelor,363,305.40,43334,95,1/2/00,Corporate Auto,Two-Door Car,614.367195
California,Female,College,345,715.42,51236,91,1/0/00,Personal Auto,Four-Door Car,245.673365
Nevada,Female,College,339,472.03,83431,84,1/0/00,Personal Auto,Four-Door Car,403.2
Washington,Female,College,802,106.71,54292,67,1/0/00,Personal Auto,Four-Door Car,321.6
Oregon,Male,Bachelor,584,152.81,51236,79,1/0/00,Personal Auto,Four-Door Car,379.2
California,Male,College,547,985.42,38210,69,1/0/00,Personal Auto,Four-Door Car,383.043363
Nevada,Female,College,2,045,524.95,51236,67,1/0/00,Personal Auto,Four-Door Car,482.4
Oregon,Female,Bachelor,831,912.30,49734,69,1/0/00,Corporate Auto,Four-Door Car,154.748539
Washington,Female,College,258,286.23,50148,65,1/0/00,Corporate Auto,Four-Door Car,323.485239
Oregon,Male,College,416,379.34,11689,117,1/0/00,Corporate Auto,SUV,561.6
Arizona,Female,College,485,310.03,17120,125,1/0/00,Special Auto,SUV,717.285949
Oregon,Male,College,753,169.73,82157,188,1/0/00,Corporate Auto,Luxury Car,1353.6
